x y dx dy
1.396263402 1.0884 0.00872664626 0.003925982
1.221730476 1.0574 0.00872664626 0.005014645
1.047197551 1.0244 0.00872664626 0.009651252
0.872664626 0.9974 0.00872664626 0.003891872
0.698131701 0.9712 0.00872664626 0.007531268
0.523598776 0.9544 0.00872664626 0.006738942
0.34906585 0.941 0.00872664626 0.004487018
0.174532925 0.9342 0.00872664626 0.005858327
-1.396263402 1.0882 0.00872664626 0.003695042
-1.221730476 1.0548 0.00872664626 0.004121488
-1.047197551 1.0274 0.00872664626 0.004934234
-0.872664626 1.0048 0.00872664626 0.003836665
-0.698131701 0.9718 0.00872664626 0.007131152
-0.523598776 0.961 0.00872664626 0.004760952
-0.34906585 0.944 0.00872664626 0.004732864
-0.174532925 0.934 0.00872664626 0.008398413
